id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts75620,Black,SHOW,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past.",2017,TV-MA,78,"['scifi', 'drama', 'action', 'thriller', 'horror', 'crime', 'fantasy', 'romance']",['KR'],2.0,tt7298976,7.9,3891,39.083,8.0,n
tm282910,Fireworks,MOVIE,"Moshimo, Japan. The annual fireworks festival is about to take place and a group of schoolboys, arguing over whether they are round or flat when viewed from different angles, set out to find it out.",2017,PG-13,90,"['drama', 'fantasy', 'documentation', 'animation', 'romance', 'scifi', 'family']",['JP'],,tt6317962,5.6,3147,56.866,6.5,n
ts58175,She's Gotta Have It,SHOW,"Nola Darling struggles to define herself and divide her time among her friends, job and three lovers. A new take on Spike Lee's film, in 10 episodes.",2017,TV-MA,35,['comedy'],['US'],2.0,tt3713588,6.7,4695,6.031,6.6,n
tm425138,Godzilla: The Planet Eater,MOVIE,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",2018,PG,91,"['scifi', 'fantasy', 'horror', 'animation', 'action']",['JP'],,tt8478602,5.0,4196,34.899,6.5,n
tm307515,Amar,MOVIE,"Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later.",2017,,105,"['romance', 'drama', 'european']","['US', 'ES']",,tt5479616,5.1,4459,5.105,5.0,n
tm244519,Birth of the Dragon,MOVIE,"Set against the backdrop of San Francisco?�s Chinatown, this cross-cultural biopic chronicles Bruce Lee?�s emergence as a martial-arts superstar after his legendary secret showdown with fellow martial artist Wong Jack Man.",2017,PG-13,103,"['drama', 'action']","['US', 'CA', 'CN']",,tt2720826,5.6,8220,23.051,5.8,n
tm347821,Outside In,MOVIE,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high-school teacher.,2018,,109,['drama'],['US'],,tt7260048,6.7,4768,6.488,6.232,n
ts75002,Borderliner,SHOW,"To protect his family, police detective Nikolai covers up a murder case. But when his co-investigator Anniken suspects foul play, he is trapped in a dangerous game on duty, blurring the line between right and wrong.",2017,TV-MA,49,"['drama', 'documentation', 'crime', 'thriller', 'history', 'war']",['NO'],1.0,tt0332902,6.7,4096,7.204,6.4,n
tm298779,Lu Over the Wall,MOVIE,"In an small fishing village, a gloomy middle school student named Kai meets a mermaid named Lu.",2017,PG,117,"['animation', 'family', 'fantasy', 'action', 'comedy', 'music']",['JP'],,tt6452332,6.8,2269,8.944,7.0,n
ts85170,Memories of the Alhambra,SHOW,"While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain.",2018,TV-MA,65,"['scifi', 'drama', 'action', 'thriller', 'romance']",['KR'],1.0,tt8236556,7.8,5537,12.047,7.9,n
tm369179,Irreplaceable You,MOVIE,A couple who have known each other since 8 are destined to be together until death do them apart.,2018,,96,"['drama', 'romance', 'comedy']",['US'],,tt6119856,6.4,9583,11.732,7.0,n
ts81734,Chosen,SHOW,"When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything.",2018,TV-14,71,['action'],['CN'],2.0,tt7317178,5.2,127,1.566,6.5,n
ts75981,The Royal House of Windsor,SHOW,"Drawing on newly available evidence, this epic series explores the Windsor dynasty's gripping family saga, providing fresh insights into how our royal family have survived four generations of crisis.",2017,TV-14,49,"['documentation', 'history', 'european']",['GB'],1.0,tt6596634,7.3,1574,4.357,7.4,n
ts75477,The Confession Tapes,SHOW,"This true crime documentary series investigates cases where people convicted of murder claim their confessions were coerced, involuntary or false.",2017,TV-MA,45,"['documentation', 'crime']",['US'],2.0,tt15149776,7.5,5358,3.917,7.4,n
ts83502,Ad Vitam,SHOW,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",2018,TV-MA,52,"['scifi', 'crime', 'drama']",['FR'],1.0,tt8548830,6.4,1671,5.334,5.8,n
